"player_name","total_points","Opp_GC_90","was_home","form","prev_tp_avg","xGipg_last7"
"Alex Oxlade-Chamberlain",1,1.4,1,2.5,4,0.15
"Alex Oxlade-Chamberlain",2,1,1,2,3.5,0.2
"Alexis Sánchez",2,1.4,0,10,10,0.4
"Alexis Sánchez",16,1.5,1,5,5,0.25
"Alexis Sánchez",14,1.4,0,8,7,0.5
"Alexis Sánchez",3,1.7,1,9,8,0.55
"Alexis Sánchez",5,1.4,1,9,7.5,0.65
"Alexis Sánchez",3,1.8,0,9.5,7,0.65
"Alexis Sánchez",13,1,1,7,7,0.7
"Alexis Sánchez",1,1.7,1,5,7,0.7
"Alexis Sánchez",23,1.6,1,6.5,7,0.65
"Alexis Sánchez",5,1.3,0,10.5,8,0.75
"Alexis Sánchez",7,0.8,0,9,8,0.8
"Alexis Sánchez",5,1.4,1,10,8,0.8
"Alexis Sánchez",6,1.7,0,8.5,7.5,0.85
"Alexis Sánchez",7,1.7,0,5,7.5,1
"Alexis Sánchez",8,1.7,1,6.5,7.5,0.8
"Alexis Sánchez",2,2.1,1,7,7.5,0.9
"Alexis Sánchez",2,1.6,1,7.5,7,0.95
"Alexis Sánchez",3,1.5,0,6.5,7,0.9
"Alexis Sánchez",7,1.4,1,6,6.5,0.7
"Alexis Sánchez",2,1,1,3,6.5,0.7
"Alexis Sánchez",3,1.5,0,3,6.5,0.25
"Alexis Sánchez",11,1.6,0,3,6.5,0.3
"Alexis Sánchez",12,1.8,1,5,6.5,0.35
"Alexis Sánchez",15,1.3,1,6,6.5,0.3
"Alfie Mawson",7,1.6,0,8.5,6.5,0.55
"Alfie Mawson",1,1.3,0,9.5,6,0.5
"Alfie Mawson",6,1.4,0,9,6,0.5
"Alfie Mawson",1,1.4,0,8,6,0.45
"Alfie Mawson",1,1.5,0,3,5.5,0.4
"Alfie Mawson",8,0.8,0,3,5.5,0.1
"Alfie Mawson",1,1.4,1,4.5,5.5,0.1
"Alfie Mawson",15,1.1,0,4.5,5.5,0.1
"Alfie Mawson",1,1.4,1,7,6,0.1
"Alfie Mawson",1,2.1,0,5,5.5,0.1
"Alfie Mawson",8,1.7,0,5,5.5,0.1
"Alfie Mawson",5,1,1,5,5.5,0.1
"Alfie Mawson",1,1.6,0,6,5.5,0.1
"Alfie Mawson",2,1.7,0,3,5.5,0.1
"Alfie Mawson",2,1.6,1,3.5,5.5,0.1
"Alfie Mawson",6,1,0,3.5,5.5,0.1
"Alfie Mawson",2,1.3,1,3,5.5,0.1
"Alfie Mawson",6,1.4,1,4,5.5,0.15
"Alfred N'Diaye",10,1.3,0,4.5,5,0.1
"Alfred N'Diaye",2,1.4,1,6,5,0.2
"Alfred N'Diaye",2,1.4,0,5.5,5,0.2
"Alfred N'Diaye",2,1.7,1,5.5,5,0.2
"Alfred N'Diaye",2,1.3,0,4.5,5,0.2
"Alfred N'Diaye",2,1.6,1,3.5,5,0.2
"Alfred N'Diaye",1,1.4,1,2,4.5,0.1
"Alfred N'Diaye",1,0.8,0,2,4.5,0.15
"Alfred N'Diaye",1,1.6,0,1.5,4.5,0.05
"Alfred N'Diaye",2,1.7,1,1.5,4.5,0.05
"Alfred N'Diaye",2,1.5,0,1.5,4.5,0.05
"Alfred N'Diaye",2,1.8,1,1.5,4,0.1
"Alfred N'Diaye",2,1.5,0,1.5,4,0.1
"Allan-Roméo Nyom",1,1.8,0,2,1.5,0.05
"Allan-Roméo Nyom",2,1,1,1.5,1.5,0.05
"Allan-Roméo Nyom",2,0.9,0,1.5,1.5,0.05
"Allan-Roméo Nyom",1,0.8,1,1.5,1.5,0.05
"Allan-Roméo Nyom",2,1.4,1,1.5,1.5,0.05
"Allan-Roméo Nyom",11,2.1,0,1.5,1.5,0.05
"Allan-Roméo Nyom",3,1.7,1,3.5,2.5,0.05
"Allan-Roméo Nyom",2,1.1,0,4,2.5,0.05
"Allan-Roméo Nyom",1,1.3,0,4,2.5,0.05
"Allan-Roméo Nyom",2,1.5,0,2,2.5,0.05
"Allan-Roméo Nyom",8,1,0,2,2,0.05
"Allan-Roméo Nyom",5,1.4,0,3,2.5,0.05
"Allan-Roméo Nyom",2,1.6,1,4,2.5,0.05
"Allan-Roméo Nyom",6,1.6,0,3.5,2.5,0
"Allan-Roméo Nyom",1,1.7,1,4.5,2.5,0
"Allan-Roméo Nyom",1,1.5,1,4.5,2.5,0
"Allan-Roméo Nyom",2,1.3,0,3,2.5,0
"Allan-Roméo Nyom",1,1.3,1,2.5,2.5,0
"Allan-Roméo Nyom",2,1,0,2,2.5,0
"Allan-Roméo Nyom",5,1.7,0,1.5,2.5,0
"Allan-Roméo Nyom",2,0.9,1,2,2.5,0
"Allan-Roméo Nyom",1,1.4,0,2.5,2.5,0
"Allan-Roméo Nyom",2,0.8,0,2,2.5,0
"Allan-Roméo Nyom",4,1.7,0,2.5,2.5,0
"Ander Herrera",1,1.5,1,4,4,0.3
"Ander Herrera",2,1.6,1,2,2.5,0.05
"Ander Herrera",1,0.9,0,2,2.5,0.05
"Ander Herrera",3,1.1,0,2,2,0.1
"Ander Herrera",2,1.3,0,3,2.5,0.1
"Ander Herrera",2,1,1,3,2.5,0.05
"Ander Herrera",2,1.4,0,4,3,0.15
"Ander Herrera",3,1.8,1,4,3,0.15
"Ander Herrera",3,1.4,1,3.5,3,0.15
"Ander Herrera",2,1.6,0,4,3,0.2
"Ander Herrera",1,1.6,0,3.5,3,0.25
"Ander Herrera",3,2.1,1,3,3,0.25
"Ander Herrera",3,1.4,0,3,3,0.15
"Ander Herrera",2,1.7,1,3,3,0.15
"Ander Herrera",3,1.7,1,3,3,0.15
"Ander Herrera",6,1.1,1,2.5,3,0.15
"Ander Herrera",13,1.4,0,3,3,0.1
"Ander Herrera",7,0.8,0,5,3,0.15
"Ander Herrera",3,1.7,1,6,3.5,0.3
"Ander Herrera",3,1.3,0,6,3.5,0.35
"Ander Herrera",2,1,0,6.5,3.5,0.4
"Andre Gray",2,0.9,1,2,2,0
"Andre Gray",10,1.1,0,2,2,0.4
"Andre Gray",2,2.1,1,4.5,4.5,0.35
"Andre Gray",2,1.4,0,4,4,0.25
"Andre Gray",2,1.7,1,3.5,3.5,0.2
"Andre Gray",1,1.5,1,3.5,4.5,0.2
"Andre Gray",2,1.7,1,3.5,4,0.15
"Andre Gray",2,1,0,2,4,0.2
"Andre Gray",7,1.8,1,2,3.5,0.15
"Andre Gray",17,0.8,0,3,4,0.15
"Andre Gray",1,1.5,1,6,4.5,0.35
"Andre Gray",2,1.3,0,6,4.5,0.35
"Andre Gray",8,1.4,1,6,4,0.35
"Andre Gray",2,1.7,0,7,4.5,0.4
"Andre Gray",1,1.1,1,6,4.5,0.5
